# LK8000 NEDERLANDS MESSAGES - NED_MSG.TXT
# MASTER UPDATED:  121005
# Version: February 2013
# Retranslated by Senne Verpoorten
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# ATTENTION> Max number of tokens is defined in LKLanguage as MAX_MESSAGES
#
# If you add messages, as a developer, do not recycle numbers, because translations assume
# that a nonexisting token should be replaced by the english original.
# But if a old token was translated, it will still appear like that, wrong!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT ON GITHUB

_@M1_ " Diff"
_@M91_ "Gebruik altijds veiligheids-MC"
_@M92_ "Amber"
_@M93_ "Analyse"
# 94 REMOVED after v2.3
_@M94_ "Animatie"
_@M95_ "Toevoegen aan taak"
_@M96_ "Activeer start"
_@M97_ "Activeer alles"
_@M98_ "Aankomsthoogte"
# 99 REMOVED after v2.3
_@M99_ "Pijlpunt"
_@M100_ "Vragen"
_@M101_ "Minimum opdr.duur "
_@M102_ "Auto verder: Geactiveerd"
_@M103_ "Auto verder: Automatisch"
_@M104_ "Auto verder: Gedeactiveerd"
_@M105_ "Auto verder: Handmatig"
_@M106_ "Auto achtergr.verlichting "
_@M107_ "Auto Final Glide "
_@M108_ "Auto Final Glide activeren "
_@M109_ "Auto MC-modus "
_@M110_ "Auto volume "
_@M111_ "Auto verder "
_@M112_ "Auto verder "
_@M113_ "Auto logger "
_@M114_ "Auto wind "
_@M115_ "Auto zoom "
_@M116_ "Gem. klim"
_@M117_ "Gem. stijgssnelheid"
_@M118_ "Gem. klim"
_@M119_ "BACKUP VOEDING AAN"
_@M120_ "BARO-HOOGTE BESCHIKBAAR"
_@M121_ "BARO-HOOGTE NIET BESCHIKBAAR"
_@M122_ "BARO-HOOGTE NIET BESCHIKBAAR, GEBRUIKT GPS-HOOGTE"
_@M123_ "BATTERIJ 100% OPGELADEN"
_@M124_ "BATTERIJ WORDT OPGELADEN"
_@M125_ "Ballast "
_@M126_ "Ballast dumptijd "
_@M127_ "Barogram"
_@M128_ "Basis"
_@M129_ "Basisinstelling"
_@M130_ "Basis-setupmenu"
_@M131_ "Basis"
_@M132_ "Batt.1 Volt"
_@M133_ "Batt.2 Volt"
_@M134_ "Batterijbank"
_@M135_ "Baudrate "
_@M136_ "Koers  "
_@M137_ "Koers "
_@M138_ "Koers"
_@M139_ "Beneden"
_@M140_ "Beste glijgetal"
_@M141_ "Beste alternatief-waarsch. "
_@M142_ "Grote steden "
_@M143_ "Grote wegen "
_@M144_ "Zwart"
_@M145_ "Leeg!"
# 146 REMOVED after v2.3
_@M146_ "Te vliegen bloksnelheid "
_@M147_ "Zeeblauw"
_@M148_ "Beide (Fin+Gem)"
_@M149_ "Beide"
_@M150_ "Infobalk "
_@M151_ "Box"
_@M152_ "Kader, zonder eenheden"
_@M153_ "Kader, met eenheden"
_@M154_ "Brg"
_@M155_ "Controleer veiligheidsaankomsthoogte\n"
_@M156_ "SLUIT"
_@M157_ "GESLOTEN"
_@M158_ "Bevestig Ga naar. Opdracht afbreken?"
_@M159_ "Bevestig Ga naar. Opdracht afbreken?"
_@M160_ "Bereken"
_@M161_ "Annul."
_@M162_ "Kan niet herschrijven!"
#M163 unused, changed to CarTrek
_@M163_ "Auto"
_@M164_ "Categorie "
_@M165_ "Plafondtrend"
_@M166_ "Midden "
_@M167_ "Midden"
_@M168_ "Veranderde instellingen zijn opgeslagen."
_@M169_ "Gekozen keerpunt niet in huidige opdracht."
_@M170_ "Zoom in thermiek "
_@M171_ "Sectorradius "
_@M172_ "Thermiekzoom UIT"
_@M173_ "Thermiekzoom AAN"
_@M174_ "Thermiekzoom "
_@M175_ "Thermiek"
# 176 UNUSED after v2.3
_@M176_ "Klassiek"
_@M177_ "Alternatieven verwijderd"
_@M178_ "Opdracht wisssen"
_@M179_ "Deze opdracht wissen?"
_@M180_ "Wissen"
_@M181_ "Klimsnelheid"
_@M182_ "Klim"
_@M183_ "Doorsnede-hoogte "
_@M184_ "Doorsnede"
_@M185_ "Sluit "
_@M186_ "Sluit"
_@M187_ "Wolkenbasis"
_@M188_ "Code"
_@M189_ "Kleuren"
_@M190_ "Opmerking"
_@M191_ "Opmerking: "
_@M192_ "Infopagina 3.x"
_@M193_ "Comms met Volkslogger"
_@M194_ "CompeGPS keerpunt"
_@M195_ "Configuratie"
_@M196_ "Configureer virtuele knoppen"
_@M197_ "Configureer topografie"
_@M198_ "Wil je echt afsluiten?"
_@M199_ "Verbonden"
_@M200_ "Kopiëren"
_@M201_ "Kan IGC-bestand niet openen!"
_@M202_ "Zoom in kruisvlucht "
_@M203_ "Kruisefficiëntie "
_@M204_ "Huidige positie geüpdated"
_@M205_ "Virtuele knoppen"
_@M206_ "Aangepast polairebestand "
_@M207_ "Virtuele knoppen-configuratie opgeslagen"
_@M208_ "Aangepast lettertype "
_@M209_ "Cyaan"
_@M210_ "Cilinder"
_@M211_ "DAT-keerpunten"
_@M212_ "Dump ballast"
_@M213_ "Gevarenzone"
_@M214_ "Gevarenzones"
_@M215_ "Donkergrijs"
_@M216_ "Donkerwit"
_@M217_ "Donkergrijs"
_@M218_ "Donkerblauw"
_@M219_ "Datum"
_@M220_ "Toetsinterval "
_@M221_ "Opdracht declareren?"
_@M222_ "Declareren"
_@M223_ "Gedeclareerd"
_@M224_ "Declutter land.velden "
_@M225_ "Declutter keerpunten "
_@M226_ "Standaardzoom"
_@M227_ "Standaard"
_@M228_ "Del"
_@M229_ "Verwijder keerpunt?"
_@M230_ "Wis andere..."
_@M231_ "Details"
_@M232_ "Apparaat A"
_@M233_ "Apparaat B"
_@M234_ "Apparaatmodel "
_@M235_ "Dialoogvensters"
_@M236_ "Rechtstreeks naar"
_@M237_ "Richting "
_@M238_ "Richting"
_@M239_ "- Niet gebruikt -"
_@M240_ "Losgekoppeld"
_@M241_ "Zichtbaar"
_@M242_ "Afstand te gaan"
_@M243_ "Afstand  "
_@M244_ "Afstand "
_@M245_ "Afstand"
_@M246_ "Dump tijd "
_@M247_ "ETE "
_@M248_ "STOP"
_@M249_ "Bewerk lettertype"
_@M250_ "Bewerk startpunten"
_@M251_ "Bewerk tekst"
_@M252_ "Bewerk"
_@M253_ "Efficiëntie "
_@M254_ "Benodigde efficiëntie"
_@M255_ "Hoogte"
_@M256_ "Smaragdgroen"
_@M257_ "Standaard kaartkleur "
_@M258_ "Schakel in"
_@M259_ "Ingeschakeld"
_@M260_ "Engineering-menu*"
_@M261_ "Vul nummer in"
_@M262_ "Equivalente MC"
_@M263_ "Fout bij opslaan opdracht!"
_@M264_ "Fout in  opdrachtbestand!"
_@M265_ "Fout! Opdracht niet gedeclareerd!"
_@M266_ "Fout"
_@M267_ "Verwachte opdr.duur "
_@M268_ "Input events "
_@M269_ "Niet gebruiken"
_@M270_ "Verwacht vroege opdrachtaankomst"
_@M271_ "Expert"
_@M272_ "Verlengd VisualGlide"
_@M273_ "Verlengd"
_@M274_ "FAI-sector"
_@M275_ "FAI finishhoogte "
_@M276_ "FAI finishhoogte"
_@M277_ "Terugval m.b.v. GPS op poort"
_@M278_ "Nee"
_@M279_ "Flarm gededecteerd"
_@M280_ "Flarm op kaart "
_@M281_ "START"
_@M282_ "Veld"
_@M283_ "Bestandsbrowser"
_@M284_ "Bestandstype"
_@M285_ "Bestand"
_@M286_ "Filter"
_@M287_ "Filter..."
_@M288_ "Auto Final Glide "
_@M289_ "Activeer Final Glide"
_@M290_ "Final Glide"
_@M291_ "Finish min hoogte"
_@M292_ "Finish min hoogte "
_@M293_ "Finish min hoogte"
_@M294_ "Eindradiaal "
_@M295_ "Finishradius "
_@M296_ "Finishradius"
_@M297_ "Finishtype "
_@M298_ "Finishtype"
_@M299_ "Finish"
_@M300_ "Gefinished"
_@M301_ "Eerste 3"
_@M302_ "Eerste 5"
_@M303_ "Ongeldige GPS-Fix"
_@M304_ "Bepaald"
_@M305_ "Vlucht afspelen"
_@M306_ "Vluchttijd"
_@M307_ "Vrij"
_@M308_ "Freq"
_@M309_ "Vriendcode"
# 310 REMOVED after v2.3
_@M310_ "Volledige pijl"
_@M311_ "Volledige overlay"
_@M312_ "Volledig"
_@M313_ "General aviation"
_@M314_ "POORT OPEN"
_@M315_ "Poort"
_@M316_ "POORTEN GESLOTEN"
_@M317_ "GOING SILENT ON COM REPORTING"
_@M318_ "GPS-hoogtecompensatie "
_@M319_ "GPS-lock"
_@M320_ "Poortinterval "
_@M321_ "Instrumenten"
_@M322_ "Geoïde-hoogte "
_@M323_ "Kort verdwenen "
_@M324_ "Glide Bar-indicator "
_@M325_ "polaire"
_@M326_ "Glijbereik-lijn "
_@M327_ "Vliegtuigpositie "
_@M328_ "Zweefvliegtuig"
_@M329_ "Ga naar huis"
_@M330_ "Ga naar"
_@M331_ "Groen"
_@M332_ "Grijs"
_@M333_ "Halve overlay"
_@M334_ "Handicap "
_@M335_ "Grootte "
_@M336_ "Help"
_@M337_ "Verberg eenheden "
_@M338_ "Hoge Alpen"
_@M339_ "Hoog"
_@M340_ "Hoog contrast"
# 341 REMOVED after v2.3
_@M341_ "HighScore-stijl"
# 342 UNUSED after v2.3
_@M342_ "Hoger"
_@M343_ "In (uitgaand)"
_@M344_ "INACCURATE RICHTING OF WIND TE STERK"
_@M345_ "ONGELDIGE SNELHEID"
_@M346_ "iPhone-bewegingen "
_@M347_ "IS OPEN"
_@M348_ "Statusfig. "
_@M349_ "Negeer"
_@M350_ "Gebruiken"
_@M351_ "Infobox-titels"
# 352 REMOVED after v2.3
_@M352_ "Infobox kleine waarden"
_@M353_ "Infobox-waarden"
_@M354_ "Infobox plakken"
# 355 REMOVED after v2.3
_@M355_ "Infobox geometrie"
_@M356_ "Informatie"
_@M357_ "Keerpunt toevoegen"
_@M358_ "Toevoegen in opdracht"
_@M359_ "Binnen"
_@M360_ "Ongeldig oud opdrachtformaat!"
_@M361_ "Omkeren z/w kleuren "
_@M362_ "Omgekeerde kleuren "
_@M363_ "Keer kleuren om"
_@M364_ "Omgekeerd"
_@M365_ "Cursief "
_@M366_ "HOU DE SNELHEID LANGER CONSTANT"
_@M367_ "HOU KOERS LANGER VAST"
_@M368_ "HOU SNELHEID EN KOERS LANGER VAST"
_@M369_ "HOU SNELHEID LANGER VAST"
# 370 REMOVED after v2.3
_@M370_ "Toetsenbord"
_@M371_ "Periode gemiddelde L/D "
_@M372_ "LAATSTE POORT IS OPEN"
_@M373_ "LCD donkergroen"
_@M374_ "LCD groen"
_@M375_ "Systeemprofiel"
_@M376_ "LK8000-Verkeer"
_@M377_ "LKoogle lagelanden"
_@M378_ "LKoogle bergen"
_@M379_ "Labels "
_@M380_ "Landbaar en keerpunten"
_@M381_ "Landbaar-icoon "
_@M382_ "Alleen landbaar"
_@M383_ "Stijl voor landbaar "
_@M384_ "Landbaar-waarde "
_@M385_ "Infopagina 2.x"
_@M386_ "Landingstijd"
_@M387_ "Taal "
_@M388_ "Links "
# 389 UNUSED after v2.3
_@M389_ "Minder"
_@M390_ "Lift "
_@M391_ "Lichtgroen"
_@M392_ "Lichtgrijs"
_@M393_ "Lijn"
_@M394_ "Live "
_@M395_ "Toch laden?"
_@M396_ "Taak laden"
_@M397_ "Dit profiel laden?"
_@M398_ "Laden..."
_@M399_ "Laden luchtruimbestanden..."
_@M400_ "Laden keerpuntnotitiebestand..."
_@M401_ "Lokale tijd "
_@M402_ "Lokale tijd"
_@M403_ "Vergrndld"
_@M404_ "Loggerfout"
_@M405_ "Logger-ID"
_@M406_ "Logger-ID: "
_@M407_ "Logbestand afspelen"
_@M408_ "Logger inactief, te weinig geheugen!"
_@M409_ "Logger"
_@M410_ "Lang"
_@M411_ "Opzoeken"
_@M412_ "Lage Alpen"
_@M413_ "Lagelanden"
_@M414_ "Laag"
 415 UNUSED after v2.3
_@M415_ "Lager"
_@M416_ "MacCready-waarde "
_@M417_ "Magenta"
_@M418_ "Handmatig"
# 419 no more used after 2.3
_@M419_ "Kaartvergrendeling "
_@M420_ "Kaartbestand "
_@M421_ "Maplabels UIT"
_@M422_ "Maplabels AAN"
_@M423_ "Maplabels TOPO"
_@M424_ "Keerpunten"
_@M425_ "Marge "
_@M426_ "Markeer locatie"
_@M427_ "Markeer centrum"
_@M428_ "Max temp. "
_@M429_ "Max hoogtewinst"
_@M430_ "Max aantal labels "
_@M431_ "Gemiddelde steden "
_@M432_ "Gemiddelde wegen "
_@M433_ "Gemiddeld"
_@M434_ "Menu time-out "
_@M435_ "Menu"
_@M436_ "Metrisch"
_@M437_ "Min dalen"
 438 UNUSED after v2.3
_@M438_ "Meer"
_@M439_ "Bergachtig"
_@M440_ "Verplaats omlaag"
_@M441_ "Verplaats omhoog"
_@M442_ "Verplaats omlaag"
_@M443_ "Verplaats omhoog"
_@M444_ "Verplts"
_@M445_ "Verplaatsend"
# 446 REMOVED after v2.3
_@M446_ "Berichtenscherm"
_@M447_ "Multidoel-menu"
_@M448_ "Volgend multidoel"
_@M449_ "NMEA-checksum "
_@M450_ "Naam "
_@M451_ "Naam"
_@M452_ "Naam: "
_@M453_ "Namen in opdracht"
_@M454_ "Namen"
_@M455_ "Nautisch"
_@M456_ "Nabij"
_@M457_ "Nieuw keerpunt"
_@M458_ "Nieuw profiel"
_@M459_ "Nieuw"
_@M460_ "Volgende\n>"
_@M461_ "Volgende keerpunt"
_@M462_ "Geen actief keerpunt!"
_@M463_ "Niet alle"
_@M464_ "Geen zweefvliegtuig"
_@M465_ "Geen thuis om naar te gaan!"
_@M466_ "Geen resultaten gevonden!"
_@M467_ "Je hebt geen opdracht gekozen"
_@M468_ "Geen opdracht"
_@M469_ "Geen waarschuwingen"
_@M470_ "Geen data"
_@M471_ "Geen positiebepaling"
_@M472_ "Geen zweefvliegtuigen"
_@M473_ "Geen landbare keerpunten"
_@M474_ "Geen logger aangesloten"
#475 unused since 3.1i
_@M475_ "Geen overlay"
_@M476_ "Geen opdracht"
_@M477_ "Ongeldig pad"
_@M478_ "Geen keerpuntbestand geselecteerd, kan niet opslaan."
_@M479_ "Geen"
_@M480_ "Normaal"
_@M481_ "Noord slim"
_@M482_ "Noord bij thermiek"
_@M483_ "Noord boven"
_@M484_ "Noord/Koers"
_@M485_ "Noord boven vanaf "
_@M486_ "Niet genoeg geheugen voor keerpunten"
_@M487_ "Nummer: "
_@M488_ "Nummers"
_@M489_ "UIT (G)"
_@M490_ "UIT (geen G)"
_@M491_ "Uit"
_@M492_ "Ongeldige declaratie, OK?"
_@M493_ "OLC-regels"
_@M494_ "AAN (G)"
_@M495_ "AAN (Geen G)"
_@M496_ "AAN/Vast"
_@M497_ "AAN/Geschaald"
_@M498_ "Uit (binnenkomen)"
_@M499_ "Uit"
_@M500_ "Online contest"
_@M501_ "Online contest "
_@M502_ "Alleen LKMaps kunnen geconfigureerd worden, sorry!"
_@M503_ "Werking verboden op Club-apparaten"
_@M504_ "Optim."
_@M505_ "Oranje"
_@M506_ "Oriëntatie "
_@M507_ "Andere"
_@M508_ "Kleur schermgegevens "
_@M509_ "Profiel overschrijven?"
_@M510_ "Overschrijven?"
_@M511_ "PC/normaal"
_@M512_ "PDA/normaal"
_@M513_ "PG/Delta Tijdpoorten"
_@M514_ "VOEDING UIT"
_@M515_ "VOEDING AAN"
_@M516_ "PROFIEL"
_@M517_ "Pagina terug"
_@M518_ "Pan naar center"
_@M519_ "Zoom tijdelijk (20s) ver uit"
_@M520_ "Paraglider/Delta"
_@M521_ "Plakken"
_@M522_ "Blauwgrijs"
_@M523_ "Selector"
_@M524_ "Pilootnaam"
_@M525_ "Pilootnaam: "
_@M526_ "Helling "
_@M527_ "Sluit LK8000 en reset het apparaat, a.u.b.\n"
_@M528_ "Polairebestand "
_@M529_ "Polling"
_@M530_ "Poort "
_@M531_ "Luchtdruk "
_@M532_ "Profiel "
_@M533_ "Profiel bestaat al"
_@M534_ "Profiel geladen!"
_@M535_ "Profiel opgeslagen!"
_@M536_ "Prohibited gebieden"
_@M537_ "Prohibited"
_@M538_ "RESET ALLE COM-POORTEN"
_@M539_ "HERSTART"
_@M540_ "RX-transmissie niet beëindigd!"
_@M541_ "Radiaal"
_@M542_ "Spoorweg "
_@M543_ "Bereik"
_@M544_ "Snelh." # rate
_@M545_ "Herlaad"
_@M546_ "Rel.koers "
_@M547_ "Rel.koers "
_@M548_ "Resterende afstand"
_@M549_ "Resterende tijd"
_@M550_ "Verwijder keerpunt"
_@M551_ "Verwijder actief keerpunt?"
_@M552_ "Verwijder uit opdracht"
_@M553_ "Verwijder"
_@M554_ "Hernoem"
_@M555_ "Vervang in opdracht"
_@M556_ "Reset standaard"
_@M557_ "QFE op nul stellen\n(sta je op de grond)?"
_@M558_ "Reset en herstart COM-poorten?"
_@M559_ "QFE op nul stellen"
_@M560_ "Reset"
_@M561_ "Herstart LK8000 om wijzigingen toe te passen."
_@M562_ "Herstart opdracht"
_@M563_ "Herstart opdracht?"
_@M564_ "Restricted gebied"
_@M565_ "Restricted"
_@M566_ "Probeer opnieuw"
_@M567_ "Geweergrijs"
_@M568_ "Rechts "
_@M569_ "SIM"
_@M570_ "SIMULEER"
_@M571_ "START"
# 572 REMOVED after v2.3
_@M572_ "Sollfahrt risicofactor"
_@M573_ "Stop dumpen"
_@M574_ "Veiligheids-MC "
_@M575_ "Veiligheidshoogtemodus "
_@M576_ "Veiligheidshoogte "
_@M577_ "Veiligheidsslot "
_@M578_ "Satellieten in zicht"
_@M579_ "Opslaan?"
_@M580_ "Opslaan"
_@M581_ "Veranderingen in keerpuntenbestand opslaan?"
_@M582_ "Opslaan als..."
_@M583_ "Opslaan"
_@M584_ "Score"
_@M585_ "Schermgegevens "
_@M586_ "Sectorradius "
_@M587_ "Sectorradius"
_@M588_ "Sectortype "
_@M589_ "Sectortype"
_@M590_ "Sector"
_@M591_ "Selecteer luchtruim"
_@M592_ "Selecteer keerpunt"
_@M593_ "Selecteer kleur"
_@M594_ "Selecteer patroon"
_@M595_ "Selecteer"
_@M596_ "Seriële modus "
_@M597_ "Selecteer alternatief 1"
_@M598_ "Selecteer alternatief 2"
_@M599_ "Vul vriendcode in"
_@M600_ "Vul vriendcode in "
_@M601_ "Kies MacCready "
_@M602_ "Selecteer als alternatief 1"
_@M603_ "Selecteer als alternatief 2"
_@M604_ "Selecteer als teamcode"
_@M605_ "Selecteer als nieuw thuis"
_@M606_ "Kies bereik "
_@M607_ "Resterende snelheid "
_@M608_ "Setup..."
_@M609_ "Schaduw"
_@M610_ "Schaduw "
_@M611_ "Korte bestandsnaam "
_@M612_ "Kort"
_@M613_ "Laat luchtruim niet zien"
_@M614_ "Laat luchtruim zien"
_@M615_ "Laat klok zien "
_@M616_ "Significante windverandering"
_@M617_ "Kleine steden "
_@M618_ "Kleine wegen "
_@M619_ "Kleinere steden "
_@M620_ "Spoor UIT"
_@M621_ "Spoor AAN: volledig"
_@M622_ "Spoor AAN: lang"
_@M623_ "Spoor AAN: kort"
_@M624_ "Geluiden UIT"
_@M625_ "Geluiden AAN"
_@M626_ "Sn "
_@M627_ "Snelheid "
_@M628_ "Snelheid bereikt"
_@M629_ "Snelheid gemiddeld"
_@M630_ "Snelheid geschat"
_@M631_ "Snelheid resterend"
_@M632_ "Snelheid"
# 633 UNUSED after v2.3
_@M633_ "Sprint"
 634 UNUSED after v2.3
_@M634_ "Standaard"
_@M635_ "Start "
_@M636_ "Start sowieso"
_@M637_ "Start logger"
_@M638_ "Starthoogte"
_@M639_ "Starthoogte ref. "
_@M640_ "Starthoogte ref."
_@M641_ "Max hoogte bij start "
_@M642_ "Max hoogte bij start"
_@M643_ "Max snelheid bij start "
_@M644_ "Max snelheid bij start"
_@M645_ "Max marge starthoogte "
_@M646_ "Max marge startsnelheid "
_@M647_ "Startpunt"
_@M648_ "Startradiaal "
_@M649_ "Startradius "
_@M650_ "Startradius "
_@M651_ "Startregels geschonden"
_@M652_ "Startregels geschonden,\r\nmaar binnen marge"
_@M653_ "Startsnelheid"
_@M654_ "Starttijd"
_@M655_ "Starttype "
_@M656_ "Starttype "
_@M657_ "Start"
_@M658_ "Statistiekschermen"
_@M659_ "Statusbericht "
_@M660_ "Status"
_@M661_ "Status: Vliegtuig"
_@M662_ "Status: Ext.apparaat"
_@M663_ "Status: Regels"
_@M664_ "Status: Systeem"
_@M665_ "Status: Opdracht"
_@M666_ "Status: Tijden"
_@M667_ "Angelsaksisch"
_@M668_ "Constant"
_@M669_ "Stop logger"
_@M670_ "Stop"
_@M671_ "Zonsondergang"
_@M672_ "Voedingsspanning"
_@M673_ "Systeemstatus"
_@M674_ "DOEL ZICHTBAAR ACHTER"
_@M675_ "DOEL GELOCKED"
_@M676_ "OPDRACHT IS OPNIEUW GESTART"
_@M677_ "Ja"
_@M678_ "KEERPUNT"
_@M679_ "Tab"
_@M680_ "Vertrektijd"
_@M681_ "Doelsnelheid"
_@M682_ "Doel bij thermiek"
_@M683_ "Doel gelocked"
_@M684_ "Doel"
_@M685_ "Opdracht berekenen"
_@M686_ "Opdracht gedeclareerd!"
_@M687_ "Opdracht VOLTOOID!"
_@M688_ "Opdrachtoverzicht"
_@M689_ "Opdrachtpunt"
_@M690_ "Opdr.regels"
_@M691_ "Opdrachtsnelheid "
_@M692_ "Opdracht start"
_@M693_ "Opdrachtstatus"
_@M694_ "Opdracht gedeclareerd"
_@M695_ "Opdrachtafstand "
_@M696_ "Opdrachtbestand bestaat al"
_@M697_ "Opdrachtsnelheid"
_@M698_ "Tijd te gaan"
_@M699_ "Opdracht"
_@M700_ "Teamcode"
_@M701_ "Temp.spoor"
_@M702_ "Terreinhelderheid "
_@M703_ "Terreinkleuren "
_@M704_ "Terreincontrast "
_@M705_ "Terreinweergave "
_@M706_ "Terreinbestand "
_@M707_ "Terreinmarge "
_@M708_ "Terrein"
_@M709_ "Terrein\nUIT"
# 710 REMOVED in v2.3
_@M710_ "Invoerstijl tekst "
_@M711_ "Tekst:"
_@M712_ "Thermiekprofiel "
_@M713_ "Thermiekhulp "
_@M714_ "Thermiekhoogte"
_@M715_ "Thermieklocator "
_@M716_ "Dit keerpunt is alleen-lezen"
_@M717_ "Tijd "
_@M718_ "Tijdstap thermiek "
_@M719_ "Tijdstap kruisvlucht "
_@M720_ "Tijd"
_@M721_ "Timing "
_@M722_ "Schakelen Kaart<>Infopagina 3.x"
_@M723_ "Schakelen Kaart<>Infopagina 2.x"
_@M724_ "Schakelen Kaart<>Infopagina 4.x"
_@M725_ "Schakelen Kaart<>Huidige infopagina"
_@M726_ "Schakelen overlays"
_@M727_ "Teveel keerpunten in opdracht!"
_@M728_ "Bovenin"
_@M729_ "Plafond"
_@M730_ "Boven links"
_@M731_ "Topografie-zoomniveaus"
_@M732_ "Topografieconfiguratie opgeslagen."
_@M733_ "Topografieweergave "
_@M734_ "Topografielabels"
_@M735_ "Totaal:"
_@M736_ "Koerslijn "
_@M737_ "Koers boven"
_@M738_ "Infopagina 4.x"
_@M739_ "Spoorverwaaiing "
_@M740_ "Spoorlengte "
_@M741_ "Spoorbreedte "
# 742 UNUSED after v2.3
_@M742_ "Driehoek"
_@M743_ "TrueType"
_@M744_ "Nodige TrueWind-IAS "
_@M745_ "Nodige TrueWind-periode "
_@M746_ "TrueWind geüpdated!"
_@M747_ "Starttijd opdracht "
_@M748_ "Tijdpoorten opdracht "
_@M749_ "Keerpunt"
_@M750_ "Keerpuntenfilter 2.3 "
_@M751_ "Type "
_@M752_ "Type"
_@M753_ "Onbekend! "
_@M754_ "UNLOCK"
_@M755_ "Baro-hoogte wordt gebruikt"
_@M756_ "Baro-hoogte wordt gebruikt"
_@M757_ "Gebruikt GPS-hoogte"
